"Codigo";"UF";"Municipio";"PopTotal";"Urbana";"Rural";"Homem";"Mulher";"H.M";"Classe";"Pop15";"Taxa";"Pop15.24";"Taxa15.24";"Pop25.39";"Taxa25.39";"Pop40.59";"Taxa40.59";"Pop60.";"Taxa60.";"TotalDomPartPerm";"Adequado";"Semi.Adequado";"Inadequado";"ValMedio";"Q2";"Mediana";"Q3";"MediaHomens";"MediaMulheres";"MedianaHomens";"MedianaMulheres";"mediaH.M";"medianaH.M";"Branca";"Preta";"Parda";"Amarela";"Indigena";"TotalIndq";"Ate70R.Indq";"Ate1.4Indq";"Ate1.2Indq";"Ate60.Indq";"Total10";"Taxa10";"Microrregiao";"Mesorregiao";"RGI";"RGInt"
3300100;"RJ";"Angra dos Reis";169511;96,33;3,67;49,95;50,05;99,8001998001998;"De 100 a 500 mil";3350;4,48;122;0,83;452;2,07;1020;3,99;1756;13,81;53452;76,92;22,66;0,42;672;255;452;755;1424;981;1000;600;1,45;1,67;1407;1026;1082;1123;599;712;9,97;30,48;60,96;54,35;99;2,88;"Baía da Ilha Grande";"Sul Fluminense";"Angra dos Reis";"Rio de Janeiro"
3300159;"RJ";"Aperibé";10213;86,93;13,07;49,18;50,82;96,7729240456513;"De 10 a 20 mil";5562;3,96;199;0,68;527;1,26;1696;3,55;3140;14,44;3452;76,07;13,88;10,05;467;233;340;510;865;671;600;510;1,29;1,18;841;622;632;915;595;980;1,33;7,55;44,59;35,41;9;4,41;"Santo Antônio de Pádua";"Noroeste Fluminense";"Santo Antônio de Pádua";"Campos dos Goytacazes"
3300209;"RJ";"Araruama";112008;95,07;4,93;48,46;51,54;94,0240589833139;"De 100 a 500 mil";17519;4,97;1101;1,34;2421;2,12;6023;5,39;7974;17,85;35807;59,48;37,76;2,76;609;203;368;666;1229;934;700;510;1,32;1,37;1385;758;877;979;1050;3346;5,71;27,44;63,39;53,86;75;3,65;"Lagos";"Baixadas";"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio"
3300225;"RJ";"Areal";11423;86,87;13,13;49,56;50,44;98,2553528945282;"De 10 a 20 mil";2138;10,74;74;1,81;337;5,49;807;12,52;920;28,4;3500;33,11;64,09;2,8;514;208;357;600;1020;778;700;510;1,31;1,37;1082;612;768;942;803;324;8,64;24,38;59,88;45,06;8;4,04;"Três Rios";"Centro Fluminense";"Petrópolis";"Petrópolis"
3300233;"RJ";"Armação dos Búzios";27560;100;NA;49,86;50,14;99,4415636218588;"De 20 a 50 mil";2746;9,86;91;1,6;319;4,2;996;10,67;1340;25,66;9012;71,65;28,32;0,03;734;272;466;765;1441;1063;900;650;1,36;1,38;1578;854;973;1277;1982;13;38,46;38,46;100;38,46;18;3,56;"Lagos";"Baixadas";"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio"
3300258;"RJ";"Arraial do Cabo";27715;100;NA;49,17;50,83;96,7342120794806;"De 20 a 50 mil";7118;5,02;438;1,4;1172;2,65;2851;6,17;2657;13,21;8956;67,46;32,28;0,26;638;254;425;740;1331;899;800;510;1,48;1,57;1277;894;978;1243;1274;76;19,74;40,79;77,63;75;9;1,9;"Lagos";"Baixadas";"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio"
3300308;"RJ";"Barra do Piraí";94778;97,02;2,98;47,64;52,36;90,9854851031322;"De 50 a 100 mil";3909;9,31;131;1,43;549;4,22;1439;10,75;1790;27,78;30758;64,34;34,5;1,16;614;250;407;680;1227;875;800;510;1,4;1,57;1347;758;874;941;756;1117;5,73;25,69;56,49;45,93;48;3,08;"Barra do Piraí";"Sul Fluminense";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3300407;"RJ";"Barra Mansa";177813;99,09;0,91;48,25;51,75;93,2367149758454;"De 100 a 500 mil";1516;12,69;33;1,56;158;4,76;540;13,46;785;31,4;56543;75,98;23,39;0,63;615;255;432;700;1272;854;900;510;1,49;1,76;1309;802;860;968;871;1162;3,87;23,67;63,34;54,82;39;1,36;"Vale do Paraíba Fluminense";"Sul Fluminense";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3300456;"RJ";"Belford Roxo";469332;100;NA;48,31;51,69;93,4610176049526;"De 100 a 500 mil";883;8,54;21;0,93;103;3,12;288;8,78;471;31,3;145677;60,24;37,18;2,58;418;200;327;510;924;673;700;510;1,37;1,37;887;749;786;750;984;11843;6,9;25,02;61,2;50,54;511;5,36;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3300506;"RJ";"Bom Jardim";25333;60,26;39,74;50,21;49,79;100,843542880096;"De 20 a 50 mil";469;7,36;14;1,07;48;2,6;135;6,43;272;24,46;8463;41,96;52,66;5,38;559;242;400;625;994;823;600;510;1,21;1,18;1018;644;721;699;2100;1299;6,31;27,17;61,97;51,73;6;1,44;"Nova Friburgo";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3300605;"RJ";"Bom Jesus do Itabapoana";35411;84,51;15,49;48,56;51,44;94,4012441679627;"De 20 a 50 mil";24405;6,85;1629;2,06;4124;3,78;8787;7,78;9865;17,92;11666;77,18;15,04;7,78;580;200;357;618;1116;850;510;510;1,31;1;1203;636;762;724;691;2949;7,93;32,89;68,6;59,1;19;3,32;"Itaperuna";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3300704;"RJ";"Cabo Frio";186227;75,44;24,56;48,77;51,23;95,1981260979895;"De 100 a 500 mil";1464;9,46;31;0,99;183;4,1;486;9,74;764;26,58;59443;63,52;35,19;1,29;688;233;402;750;1417;1033;800;600;1,37;1,33;1525;866;1007;989;900;2500;7,24;25,2;62,36;52,84;115;3,33;"Lagos";"Baixadas";"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio"
3300803;"RJ";"Cachoeiras de Macacu";54273;86,5;13,5;49,86;50,14;99,4415636218588;"De 50 a 100 mil";1514;15,2;51;2,55;189;6,73;548;17,65;726;35,43;17838;54,8;39,54;5,66;520;204;340;570;1047;753;650;510;1,39;1,27;1102;728;784;1075;837;3016;3,78;19,23;56,47;44,53;32;3,42;"Macacu-Caceribu";"Metropolitana do Rio de Janeiro";"Rio Bonito";"Rio de Janeiro"
3300902;"RJ";"Cambuci";14827;76,16;23,84;49,96;50,04;99,8401278976819;"De 10 a 20 mil";1348;9,91;40;1,51;191;4,73;448;9,87;669;28;5109;51,95;28,4;19,65;459;178;326;510;851;700;510;510;1,22;1;887;569;662;718;508;2723;8,78;24,31;59,31;46,93;6;2,74;"Santo Antônio de Pádua";"Noroeste Fluminense";"Santo Antônio de Pádua";"Campos dos Goytacazes"
3300936;"RJ";"Carapebus";13359;78,91;21,09;50,81;49,19;103,29335230738;"De 10 a 20 mil";1891;6,99;68;1,14;285;3,27;715;8,31;823;21,9;4151;38,23;52,69;9,08;537;241;400;650;1105;775;800;510;1,43;1,57;1115;879;888;896;642;1113;2,61;15,09;47,53;37,56;11;4,91;"Macaé";"Norte Fluminense";"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio"
3300951;"RJ";"Comendador Levy Gasparian";8180;96,11;3,89;49,83;50,17;99,3223041658361;"De 5 a 10 mil";1582;9,73;45;1,24;277;5,71;578;10,95;682;27,31;2485;77,59;19,8;2,62;493;230;364;564;941;670;600;510;1,4;1,18;995;645;748;825;510;225;1,78;20,44;44,44;41,33;NA;NA;"Três Rios";"Centro Fluminense";"Três Rios - Paraíba do Sul";"Petrópolis"
3301009;"RJ";"Campos dos Goytacazes";463731;90,29;9,71;48,14;51,86;92,8268414963363;"De 100 a 500 mil";939;5,84;41;1,24;85;1,82;280;5,28;533;19,06;142416;50,27;46,98;2,76;604;189;340;625;1275;964;700;510;1,32;1,37;1403;768;887;1044;1158;12140;7,47;29,71;66,5;55,44;419;5,12;"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes";"Campos dos Goytacazes"
3301108;"RJ";"Cantagalo";19830;70,71;29,29;49,58;50,42;98,3339944466481;"De 10 a 20 mil";991;11,73;45;2,41;145;5,7;401;14,54;400;31,35;6423;63,97;27,21;8,81;543;200;350;600;1049;800;600;510;1,31;1,18;1187;593;718;638;1104;1769;3,28;25,21;59,92;48,67;4;1,16;"Cantagalo-Cordeiro";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3301157;"RJ";"Cardoso Moreira";12600;69,5;30,5;49,76;50,24;99,0445859872611;"De 10 a 20 mil";32426;4,99;1951;1,32;4462;2,14;11024;5,32;14989;17,39;4281;50,5;35,46;14,04;429;170;290;510;877;676;510;510;1,3;1;884;608;697;688;466;1511;3,44;20,85;63,8;47,65;11;5,45;"Campos dos Goytacazes";"Norte Fluminense";"Campos dos Goytacazes";"Campos dos Goytacazes"
3301207;"RJ";"Carmo";17434;77,26;22,74;49,33;50,67;97,3554371422933;"De 10 a 20 mil";617;5,78;29;1,4;76;2,43;242;6,66;270;14,65;5741;70,3;25,74;3,95;516;204;342;550;978;759;550;510;1,29;1,08;1068;583;707;717;646;707;2,83;13,58;51,91;39,18;13;4,45;"Cantagalo-Cordeiro";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3301306;"RJ";"Casimiro de Abreu";35347;80,69;19,31;49,29;50,71;97,199763360284;"De 20 a 50 mil";2911;7,51;138;1,52;435;3,51;1080;8,97;1258;24,1;11489;71,42;27,34;1,24;660;255;440;765;1310;936;800;550;1,4;1,45;1359;814;970;1340;1132;430;4,65;17,91;62,56;51,16;17;2,65;"Bacia de São João";"Baixadas";"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio"
3301405;"RJ";"Conceição de Macabu";21211;86,45;13,55;49,73;50,27;98,9258006763477;"De 20 a 50 mil";774;4,29;28;0,82;99;2;314;5,26;333;8,97;6708;23,12;73,03;3,85;530;204;355;600;1063;801;700;510;1,33;1,37;1203;710;784;859;1221;772;4,27;17,75;55,44;46,11;20;5,35;"Macaé";"Norte Fluminense";"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio"
3301504;"RJ";"Cordeiro";20430;97,22;2,78;47,88;52,12;91,8649270913277;"De 20 a 50 mil";11007;6,59;428;1,19;1437;2,64;3966;7,34;5176;23,1;6603;81,11;17,26;1,62;636;255;443;703;1208;891;800;510;1,36;1,57;1245;684;843;876;605;302;NA;21,52;57,95;44,7;8;2,41;"Cantagalo-Cordeiro";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3301603;"RJ";"Duas Barras";10930;70,78;29,22;50,42;49,58;101,694231544978;"De 10 a 20 mil";4481;5,44;231;1,25;672;2,42;1587;6,17;1991;19,25;3551;26,92;69,19;3,89;483;204;345;510;866;681;510;510;1,27;1;914;536;654;604;744;375;NA;19,47;56,53;48;2;1,04;"Nova Friburgo";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3301702;"RJ";"Duque de Caxias";855048;99,66;0,34;48,08;51,92;92,6040061633282;"Acima de 500 mil";1259;11,06;36;1,75;139;4,51;404;10,67;680;27,79;269353;55,69;42,78;1,53;498;204;360;600;1079;774;800;510;1,39;1,57;1069;834;884;881;943;12901;9,36;28,56;63,37;53,79;703;4,21;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3301801;"RJ";"Engenheiro Paulo de Frontin";13237;71,94;28,06;48,72;51,28;95,0078003120125;"De 10 a 20 mil";2053;11,05;47;1,39;216;4,23;645;10,36;1145;29,65;4394;28,79;70,71;0,5;505;228;345;528;942;733;510;510;1,29;1;974;678;732;585;559;61;NA;11,48;34,43;21,31;4;1,92;"Vassouras";"Metropolitana do Rio de Janeiro";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3301850;"RJ";"Guapimirim";51483;96,63;3,37;49,1;50,9;96,4636542239686;"De 50 a 100 mil";5833;7,62;194;1,27;641;2,76;1900;7,6;3098;23,58;15741;43,08;53,41;3,51;505;200;340;533;1079;787;700;510;1,37;1,37;1144;759;847;791;928;1784;5,66;27,35;63,28;52,69;38;3,68;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3301876;"RJ";"Iguaba Grande";22851;100;NA;48,34;51,66;93,5733643050716;"De 20 a 50 mil";1293;5,83;66;1,39;202;2,8;477;6,67;548;17,75;7580;74,91;24,78;0,32;686;253;426;767;1367;1020;800;510;1,34;1,57;1397;892;1028;1424;884;85;12,94;34,12;58,82;56,47;12;2,88;"Lagos";"Baixadas";"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio"
3301900;"RJ";"Itaboraí";218008;98,81;1,19;48,71;51,29;94,969779684149;"De 100 a 500 mil";5017;7,09;271;1,48;814;3,38;1750;8,71;2182;26,47;69422;20,98;74,7;4,32;482;200;340;553;1025;721;700;510;1,42;1,37;1048;772;805;974;1183;8998;7,71;25,19;58,8;48,14;106;2,58;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302007;"RJ";"Itaguaí";109091;95,52;4,48;49,87;50,13;99,4813484939158;"De 100 a 500 mil";797;13,76;31;2,59;101;6,15;287;15,16;378;35,66;33910;67,01;31,57;1,42;546;230;380;634;1193;798;900;510;1,5;1,76;1175;921;929;1268;894;1334;3,52;16,72;48,28;39,13;71;3,28;"Itaguaí";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302056;"RJ";"Italva";14063;72,83;27,17;48,73;51,27;95,0458357714063;"De 10 a 20 mil";6778;4,27;370;1,01;1136;1,94;2587;5,43;2685;16,85;4877;67,93;21,49;10,58;496;208;350;570;954;688;600;510;1,39;1,18;920;615;743;870;788;1483;1,89;17,19;56,57;43,43;3;1,38;"Itaperuna";"Noroeste Fluminense";"Campos dos Goytacazes";"Campos dos Goytacazes"
3302106;"RJ";"Itaocara";22899;75,66;24,34;48,88;51,12;95,6181533646322;"De 20 a 50 mil";317;7,92;16;1,99;39;3,12;100;8,21;162;22,22;7986;69,06;15,34;15,6;529;210;365;566;928;763;510;510;1,22;1;959;530;667;767;576;3538;3,05;18,51;52,66;41,44;3;0,91;"Santo Antônio de Pádua";"Noroeste Fluminense";"Santo Antônio de Pádua";"Campos dos Goytacazes"
3302205;"RJ";"Itaperuna";95841;92,2;7,8;48,57;51,43;94,4390433599067;"De 50 a 100 mil";10131;5,92;606;1,52;1427;2,69;3307;6,16;4791;19,42;31838;83,98;10,91;5,12;640;255;423;680;1199;876;700;510;1,37;1,37;1323;679;818;892;710;4854;2,12;16,77;54,82;42,09;39;2,66;"Itaperuna";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3302254;"RJ";"Itatiaia";28783;96,63;3,37;49,38;50,62;97,5503753457132;"De 20 a 50 mil";1163;4,1;68;1,15;193;2,24;434;4,65;468;10,43;9368;83,57;16,01;0,42;719;250;425;720;1470;931;800;510;1,58;1,57;1549;845;914;1907;949;111;0,9;15,32;53,15;40,54;15;3,13;"Vale do Paraíba Fluminense";"Sul Fluminense";"Resende";"Volta Redonda - Barra Mansa"
3302270;"RJ";"Japeri";95492;100;NA;50,35;49,65;101,409869083585;"De 50 a 100 mil";4602;4,53;236;1,24;675;2,16;1625;4,7;2066;12,45;28409;55,85;41,69;2,46;368;170;278;483;835;606;600;510;1,38;1,18;814;683;708;714;755;2121;11,13;31,54;66,53;56,81;115;5,84;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302304;"RJ";"Laje do Muriaé";7487;75,29;24,71;50,1;49,9;100,400801603206;"De 5 a 10 mil";792;5,47;26;0,98;92;2,3;261;5,06;413;15,55;2395;61,75;22,63;15,62;429;170;278;510;788;721;510;510;1,09;1;1038;544;599;569;1200;1106;4,16;21,52;56,15;46,2;3;2,01;"Itaperuna";"Noroeste Fluminense";"Itaperuna";"Campos dos Goytacazes"
3302403;"RJ";"Macaé";206728;98,13;1,87;49,55;50,45;98,2160555004955;"De 100 a 500 mil";4490;3,45;333;1,2;612;1,53;1367;3,18;2178;11,15;66890;70,41;28,24;1,34;907;290;510;1000;1884;1195;1000;700;1,58;1,43;2084;1067;1257;1665;1287;2722;2,76;15,72;51,69;41,07;76;2,15;"Macaé";"Norte Fluminense";"Macaé - Rio das Ostras";"Macaé - Rio das Ostras - Cabo Frio"
3302452;"RJ";"Macuco";5269;87,17;12,83;47,98;52,02;92,2337562475971;"De 5 a 10 mil";1337;6,8;52;1,39;136;2,66;492;7,35;657;15,96;1652;90,38;9,2;0,42;503;195;350;550;1023;767;600;510;1,33;1,18;1154;633;662;954;NA;29;NA;41,38;89,66;65,52;2;1,87;"Cantagalo-Cordeiro";"Centro Fluminense";"Nova Friburgo";"Petrópolis"
3302502;"RJ";"Magé";227322;94,68;5,32;48,64;51,36;94,7040498442368;"De 100 a 500 mil";2246;10,79;73;1,66;301;5,15;737;11,03;1135;29,15;70394;30,82;66,16;3,02;478;200;340;550;1050;735;710;510;1,43;1,39;1041;762;835;1437;995;6553;10,25;29,99;62,23;53,2;149;3,36;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302601;"RJ";"Mangaratiba";36456;88,11;11,89;49,27;50,73;97,1220185294698;"De 20 a 50 mil";1334;11,23;43;1,87;138;4,19;443;11,2;710;30,34;11788;48,62;50,42;0,97;704;255;475;800;1449;982;900;600;1,48;1,5;1497;1008;1048;1376;996;362;3,59;26,24;67,68;58,01;17;2,53;"Itaguaí";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302700;"RJ";"Maricá";127461;98,45;1,55;49,15;50,85;96,6568338249754;"De 100 a 500 mil";2686;2,15;212;0,86;350;0,93;745;1,78;1379;6,6;42810;12,9;84,77;2,33;792;283;510;933;1563;1101;1000;600;1,42;1,67;1564;1089;1114;1482;2051;3128;4,32;16,72;46,04;37,6;58;2,88;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302809;"RJ";"Mendes";17935;98,7;1,3;48,24;51,76;93,1993817619784;"De 10 a 20 mil";9247;2,28;551;0,77;1394;1,19;3159;2,36;4143;4,95;6167;43,31;54,95;1,74;583;250;400;638;1064;833;600;510;1,28;1,18;1152;737;773;673;4770;308;4,87;23,05;60,71;50,32;7;2,37;"Vassouras";"Metropolitana do Rio de Janeiro";"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa"
3302858;"RJ";"Mesquita";168376;100;NA;47,39;52,61;90,0779319521004;"De 100 a 500 mil";7352;5,03;257;0,93;901;2,11;2584;5,2;3610;13,84;53103;86,84;12,83;0,32;566;237;400;667;1199;853;800;530;1,41;1,51;1176;921;965;1042;1190;551;7,8;24,86;55,35;47,01;103;3,51;"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro";"Rio de Janeiro"
3302908;"RJ";"Miguel Pereira";24642;87,25;12,75;47,56;52,44;90,6941266209001;"De 20 a 50 mil";28072;4,64;1768;1,3;3820;1,99;9263;4,79;13221;15,72;8324;39,76;58,6;1,63;718;250;407;746;1342;1031;700;510;1,3;1,37;1562;806;843;1211;931;410;7,8;29,02;60;53,41;6;1,47;"Vassouras";"Metropolitana do Rio de Janeiro";"Valença";"Volta Redonda - Barra Mansa"
3303005;"RJ";"Miracema";26843;92,17;7,83;48,53;51,47;94,2879347192539;"De 20 a 50 mil";2098;5,46;63;0,77;280;2,42;704;5,42;1051;18,48;8186;81,31;16,17;2,52;530;177;337;545;1026;790;510;510;1,3;1;1231;560;716;598;616;732;7,51;29,1;71,04;57,38;20;4,16;"Santo Antônio de Pádua";"Noroeste Fluminense";"Santo Antônio de Pádua";"Campos dos Goytacazes"
